epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,49,0.1375788003206253,0.05858159437775612,0.9918245077133179,2324.0,2324.0,50.0,0.671234130859375,0.9419762492179871,0.6742424964904785,132.0,132.0,46.0,1.5996664762496948,1.6921775341033936,0.04444444179534912,45.0,45.0,31.0,0.6378252506256104,0.35269585251808167,0.6137341260910034,699.0,699.0,50.0,0.2894251346588135,0.289425253868103,0.8828126192092896,8431.48046875,0.4215740234375
0,74,0.04132549837231636,0.03795735165476799,0.9974445700645447,1174.0,1174.0,25.0,0.5734241604804993,0.4962991774082184,0.7884615063667297,52.0,52.0,21.0,1.5268900394439697,1.6815218925476074,0.3636363744735718,11.0,11.0,10.0,0.25368016958236694,0.28699564933776855,0.9189943671226501,358.0,358.0,25.0,0.11664997041225433,0.116581492125988,0.9686519503593445,8431.1484375,0.421557421875
1,49,0.03162074834108353,0.026710662990808487,0.9978438019752502,2319.0,2319.0,50.0,0.5986746549606323,0.6187351942062378,0.7016128897666931,124.0,124.0,46.0,1.217029333114624,1.0646369457244873,0.42105263471603394,38.0,38.0,29.0,0.1540440171957016,0.13828051090240479,0.9415854811668396,719.0,719.0,50.0,0.0951777845621109,0.0951777994632721,0.966874897480011,8430.4267578125,0.421521337890625
1,74,0.02423521876335144,0.028033258393406868,0.9966073036193848,1179.0,1179.0,25.0,0.5375756621360779,0.6647415161132812,0.73333340883255,60.0,60.0,23.0,0.9077019691467285,0.923772394657135,0.5,18.0,18.0,13.0,0.14608904719352722,0.11483708769083023,0.9497041702270508,338.0,338.0,25.0,0.07927945256233215,0.07933830469846725,0.9711599349975586,8430.05859375,0.4215029296875
2,49,0.014827115461230278,0.013901897706091404,0.9991366863250732,2317.0,2317.0,50.0,0.3125927150249481,0.3375365138053894,0.8615386486053467,130.0,130.0,47.0,0.5998268723487854,0.7963669300079346,0.6585366129875183,41.0,41.0,29.0,0.09408655017614365,0.06925582140684128,0.9705054759979248,712.0,712.0,50.0,0.05205438658595085,0.052054375410079956,0.9828124046325684,8429.3251953125,0.421466259765625
2,74,0.018513590097427368,0.0173311997205019,0.9974597096443176,1181.0,1181.0,25.0,0.17373405396938324,0.17436960339546204,0.9629629254341125,54.0,54.0,24.0,0.6536133289337158,0.8903886079788208,0.800000011920929,15.0,15.0,10.0,0.09302745759487152,0.06904769688844681,0.9681159257888794,345.0,345.0,25.0,0.04579368978738785,0.04585884511470795,0.9880877137184143,8428.953125,0.42144765625
3,49,0.009917518123984337,0.008656899444758892,1.0,2330.0,2330.0,50.0,0.13827160000801086,0.12016208469867706,0.9583333134651184,120.0,120.0,46.0,0.22227652370929718,0.23078301548957825,0.9743589758872986,39.0,39.0,30.0,0.0545433908700943,0.053410764783620834,0.9845288991928101,711.0,711.0,50.0,0.027234237641096115,0.027234232053160667,0.9946874380111694,8428.201171875,0.42141005859375
3,74,0.009419165551662445,0.008660148829221725,0.9991438984870911,1168.0,1168.0,25.0,0.16096866130828857,0.18266454339027405,0.9531251192092896,64.0,64.0,24.0,0.5397621989250183,0.32552841305732727,0.8235294222831726,17.0,17.0,12.0,0.03545871749520302,0.026947172358632088,0.9884393811225891,346.0,346.0,25.0,0.0267435722053051,0.02680141292512417,0.9931035041809082,8427.8203125,0.42139101562500003
4,49,0.008668273687362671,0.008098045364022255,0.9991404414176941,2327.0,2327.0,50.0,0.07106195390224457,0.08208326250314713,1.0,122.0,122.0,44.0,0.1795508712530136,0.15737085044384003,0.9210526347160339,38.0,38.0,26.0,0.03850927576422691,0.02066592499613762,0.9929872751235962,713.0,713.0,50.0,0.019725214689970016,0.019725212827324867,0.9968749284744263,8427.052734375,0.42135263671875
4,74,0.005323927383869886,0.0054514966905117035,1.0,1171.0,1171.0,25.0,0.07901094108819962,0.07915198802947998,1.0,62.0,62.0,23.0,0.13066814839839935,0.14130271971225739,0.944444477558136,18.0,18.0,11.0,0.03351312130689621,0.02999844215810299,0.9941860437393188,344.0,344.0,25.0,0.01567082479596138,0.015682468190789223,0.9981191754341125,8426.6640625,0.421333203125
5,49,0.00493486225605011,0.005717158783227205,1.0,2334.0,2334.0,50.0,0.048376087099313736,0.07053187489509583,1.0,135.0,135.0,49.0,0.12706956267356873,0.09382480382919312,0.949999988079071,40.0,40.0,30.0,0.017970038577914238,0.011292444542050362,0.997105598449707,691.0,691.0,50.0,0.011109004728496075,0.011109006591141224,0.9987499713897705,8425.8779296875,0.42129389648437504
5,74,0.002918201731517911,0.0034003807231783867,1.0,1164.0,1164.0,25.0,0.02110656537115574,0.02423136495053768,1.0,49.0,49.0,23.0,0.06547362357378006,0.07218226790428162,1.0,16.0,16.0,12.0,0.023566806688904762,0.0200307946652174,1.0,366.0,366.0,25.0,0.00885673426091671,0.008842656388878822,1.0,8425.4794921875,0.42127397460937505
6,49,0.004026191774755716,0.00431643845513463,1.0,2347.0,2347.0,50.0,0.03150606155395508,0.034643348306417465,1.0,124.0,124.0,47.0,0.045219194144010544,0.044642139226198196,1.0,33.0,33.0,22.0,0.013130098581314087,0.011461225338280201,1.0,696.0,696.0,50.0,0.007495939265936613,0.007495939265936613,1.0,8424.6826171875,0.421234130859375
6,74,0.003676659194752574,0.003786851651966572,0.9991312026977539,1151.0,1151.0,25.0,0.038253236562013626,0.03593294322490692,1.0,60.0,60.0,23.0,0.12127644568681717,0.10159340500831604,0.95652174949646,23.0,23.0,16.0,0.02311643213033676,0.012928555719554424,0.9916898012161255,361.0,361.0,25.0,0.011077120900154114,0.01107298955321312,0.9968652725219727,8424.2841796875,0.421214208984375
7,49,0.0029023082461208105,0.0024427291937172413,1.0,2336.0,2336.0,50.0,0.016390973702073097,0.021422050893306732,1.0,123.0,123.0,47.0,0.04922855645418167,0.0420127809047699,0.9705882668495178,34.0,34.0,26.0,0.0105122746899724,0.009714396670460701,1.0,707.0,707.0,50.0,0.005594321992248297,0.005594322457909584,0.9996875524520874,8423.48046875,0.42117402343750004
7,74,0.0029312013648450375,0.0026693453546613455,1.0,1162.0,1162.0,25.0,0.023252125829458237,0.026111051440238953,1.0,61.0,61.0,23.0,0.05448273569345474,0.05274486541748047,1.0,22.0,22.0,15.0,0.008017200976610184,0.006838561035692692,1.0,350.0,350.0,25.0,0.0055348933674395084,0.005535471253097057,1.0,8423.0751953125,0.421153759765625
8,49,0.0023558700922876596,0.00136065564583987,1.0,2325.0,2325.0,50.0,0.01438208855688572,0.009777677245438099,1.0,122.0,122.0,47.0,0.06884873658418655,0.05502057448029518,0.9736842513084412,38.0,38.0,27.0,0.009049884974956512,0.0072001381777226925,1.0,715.0,715.0,50.0,0.005099667701870203,0.005099666304886341,0.9996875524520874,8422.2646484375,0.42111323242187504
8,74,0.002315348479896784,0.002557316329330206,1.0,1173.0,1173.0,25.0,0.018184762448072433,0.017026318237185478,1.0,62.0,62.0,22.0,0.014534886926412582,0.026172449812293053,1.0,18.0,18.0,14.0,0.00487061170861125,0.004453399684280157,1.0,342.0,342.0,25.0,0.0036181567702442408,0.003618016606196761,1.0,8421.859375,0.42109296875
