epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,0.16501061618328094,0.0988440066576004,0.989708423614502,3498.0,3498.0,38.0,0.5211653113365173,0.6138721704483032,0.7010869979858398,184.0,184.0,37.0,1.5029380321502686,1.5450053215026855,0.1071428582072258,56.0,56.0,31.0,0.7485461235046387,0.45685774087905884,0.5449385046958923,1057.0,1057.0,38.0,0.3207511603832245,0.3229362368583679,0.8702815175056458,8431.6220703125,0.421581103515625
1,37,0.04074416309595108,0.03572907671332359,0.9977129101753235,3498.0,3498.0,38.0,0.7712938785552979,0.6980816721916199,0.5652173757553101,184.0,184.0,37.0,1.5060572624206543,1.3369442224502563,0.2857142388820648,56.0,56.0,33.0,0.21362879872322083,0.19582459330558777,0.9224221110343933,1057.0,1057.0,38.0,0.12359290570020676,0.12400124967098236,0.956204354763031,8431.126953125,0.42155634765625
2,37,0.02634781412780285,0.026348287239670753,0.9982847571372986,3498.0,3498.0,38.0,0.4925268590450287,0.3756030201911926,0.7336957454681396,184.0,184.0,38.0,1.043142557144165,1.2174904346466064,0.5357142686843872,56.0,56.0,29.0,0.158667653799057,0.14304842054843903,0.9403973817825317,1057.0,1057.0,38.0,0.08478216081857681,0.0852799341082573,0.9699687361717224,8430.580078125,0.42152900390625003
3,37,0.01976555958390236,0.019419284537434578,0.9982848763465881,3498.0,3498.0,38.0,0.3689294755458832,0.4015157222747803,0.8478259444236755,184.0,184.0,38.0,0.7745676040649414,0.6779268980026245,0.6785714030265808,56.0,56.0,33.0,0.10306380689144135,0.08333884179592133,0.9631029963493347,1057.0,1057.0,38.0,0.05981076508760452,0.06034143269062042,0.9810219407081604,8430.02734375,0.42150136718750003
4,37,0.015054798685014248,0.014898225665092468,0.9982846975326538,3498.0,3498.0,38.0,0.25400447845458984,0.24959509074687958,0.907608687877655,184.0,184.0,38.0,0.5423702001571655,0.4855518341064453,0.7321429252624512,56.0,56.0,29.0,0.08981506526470184,0.07536129653453827,0.9697255492210388,1057.0,1057.0,38.0,0.04669826105237007,0.046862516552209854,0.9854013919830322,8429.4619140625,0.421473095703125
5,37,0.010420751757919788,0.009525422006845474,0.9994282722473145,3498.0,3498.0,38.0,0.16468562185764313,0.12665976583957672,0.945652186870575,184.0,184.0,38.0,0.41126641631126404,0.31755331158638,0.8392857313156128,56.0,56.0,31.0,0.0611921101808548,0.06876987218856812,0.984862744808197,1057.0,1057.0,38.0,0.03236570581793785,0.03221374750137329,0.9922836422920227,8428.890625,0.42144453125000003
6,37,0.008653798140585423,0.009375850670039654,0.999714195728302,3498.0,3498.0,38.0,0.11509297043085098,0.16705894470214844,0.9728260636329651,184.0,184.0,38.0,0.2909170389175415,0.3751598000526428,0.8928571343421936,56.0,56.0,28.0,0.040821369737386703,0.041505858302116394,0.9924314022064209,1057.0,1057.0,38.0,0.023660942912101746,0.023125680163502693,0.9958290457725525,8428.3154296875,0.42141577148437503
7,37,0.006953520234674215,0.007002008613198996,0.9997141361236572,3498.0,3498.0,38.0,0.07565714418888092,0.08854150027036667,0.989130437374115,184.0,184.0,38.0,0.20957091450691223,0.22753053903579712,0.8928571343421936,56.0,56.0,29.0,0.03288903087377548,0.029993243515491486,0.9952697157859802,1057.0,1057.0,38.0,0.017755653709173203,0.01767341047525406,0.9970803260803223,8427.7275390625,0.42138637695312503
8,37,0.005920988041907549,0.005754804238677025,1.0,3498.0,3498.0,38.0,0.06581024825572968,0.06545380502939224,0.9945651888847351,184.0,184.0,38.0,0.1709904968738556,0.09268622100353241,0.9107141494750977,56.0,56.0,30.0,0.024011142551898956,0.017778800800442696,0.9971618056297302,1057.0,1057.0,38.0,0.014117381535470486,0.014134712517261505,0.998123049736023,8427.1376953125,0.421356884765625
9,37,0.004654069431126118,0.00521753029897809,1.0,3498.0,3498.0,38.0,0.04190439730882645,0.0478348582983017,1.0,184.0,184.0,38.0,0.15093570947647095,0.09411067515611649,0.946428656578064,56.0,56.0,27.0,0.0197808425873518,0.01699630357325077,0.999053955078125,1057.0,1057.0,38.0,0.011115451343357563,0.011126400902867317,0.9991658329963684,8426.541015625,0.42132705078125005
