epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,0.1571435034275055,0.09011191129684448,0.995425820350647,3498.0,3498.0,38.0,0.5586720705032349,0.806657075881958,0.7228260040283203,184.0,184.0,38.0,1.4137777090072632,1.4349782466888428,0.0535714328289032,56.0,56.0,29.0,0.7436826825141907,0.47197502851486206,0.5562913417816162,1057.0,1057.0,38.0,0.3142431378364563,0.316523015499115,0.8771635890007019,8431.62890625,0.4215814453125
1,37,0.043956831097602844,0.03740978240966797,0.9965694546699524,3498.0,3498.0,38.0,0.7779095768928528,0.7062647342681885,0.5489131212234497,184.0,184.0,37.0,1.4890238046646118,1.4611645936965942,0.3214285969734192,56.0,56.0,28.0,0.21321865916252136,0.20900197327136993,0.9205297231674194,1057.0,1057.0,38.0,0.1263446807861328,0.12630945444107056,0.9547444581985474,8431.1328125,0.42155664062500003
2,37,0.026563001796603203,0.0278598852455616,0.9974271059036255,3498.0,3498.0,38.0,0.4907384514808655,0.4468967020511627,0.77173912525177,184.0,184.0,37.0,0.9905242919921875,1.0774292945861816,0.553571343421936,56.0,56.0,29.0,0.15041856467723846,0.14017802476882935,0.9451276063919067,1057.0,1057.0,38.0,0.08266294747591019,0.08293535560369492,0.9720541834831238,8430.587890625,0.42152939453125005
3,37,0.018651118502020836,0.016895558685064316,0.9982847571372986,3498.0,3498.0,38.0,0.321254163980484,0.3037669062614441,0.8804348111152649,184.0,184.0,36.0,0.8534812927246094,0.9718915224075317,0.6071429252624512,56.0,56.0,32.0,0.11117984354496002,0.08314716070890427,0.9612109661102295,1057.0,1057.0,38.0,0.06010802835226059,0.060409680008888245,0.9810219407081604,8430.029296875,0.42150146484375
4,37,0.014053378254175186,0.013548984192311764,0.9997141361236572,3498.0,3498.0,38.0,0.24688367545604706,0.2435148060321808,0.9076088070869446,184.0,184.0,37.0,0.5423863530158997,0.7467142939567566,0.7678571343421936,56.0,56.0,31.0,0.07369004189968109,0.06768156588077545,0.9791862964630127,1057.0,1057.0,38.0,0.04311063513159752,0.04230434074997902,0.988946795463562,8429.4658203125,0.42147329101562503
5,37,0.012306907214224339,0.013338898308575153,0.9994281530380249,3498.0,3498.0,38.0,0.17570281028747559,0.2362845242023468,0.9510868191719055,184.0,184.0,38.0,0.37673574686050415,0.5157282948493958,0.8750000596046448,56.0,56.0,28.0,0.0571233294904232,0.04138878732919693,0.984862744808197,1057.0,1057.0,38.0,0.032617490738630295,0.032712288200855255,0.9929091930389404,8428.8955078125,0.421444775390625
6,37,0.008050789125263691,0.00997017789632082,1.0,3498.0,3498.0,38.0,0.11731696128845215,0.16375809907913208,0.9673913717269897,184.0,184.0,38.0,0.30264756083488464,0.24450871348381042,0.8749998807907104,56.0,56.0,30.0,0.04581685736775398,0.03175477683544159,0.9924314022064209,1057.0,1057.0,38.0,0.02459922432899475,0.02400931343436241,0.9956204295158386,8428.3203125,0.42141601562500003
7,37,0.006097279954701662,0.005500716622918844,1.0,3498.0,3498.0,38.0,0.0762249156832695,0.10249027609825134,0.9945651888847351,184.0,184.0,38.0,0.19181203842163086,0.2996789813041687,0.9285714030265808,56.0,56.0,29.0,0.03368693217635155,0.026542924344539642,0.9971618056297302,1057.0,1057.0,38.0,0.017570704221725464,0.017039047554135323,0.998331606388092,8427.734375,0.42138671875
8,37,0.004872898571193218,0.004340316168963909,1.0,3498.0,3498.0,38.0,0.04623477905988693,0.04383353888988495,1.0,184.0,184.0,37.0,0.1710021048784256,0.17408275604248047,0.9285714030265808,56.0,56.0,28.0,0.024707788601517677,0.029033593833446503,0.9990538954734802,1057.0,1057.0,38.0,0.012697257101535797,0.012772648595273495,0.9989572763442993,8427.140625,0.42135703125
9,37,0.00488283671438694,0.003863867139443755,1.0,3498.0,3498.0,38.0,0.04827223718166351,0.034973010420799255,0.9945652484893799,184.0,184.0,38.0,0.12094617635011673,0.14707867801189423,0.9642858505249023,56.0,56.0,33.0,0.018183939158916473,0.020244933664798737,0.999053955078125,1057.0,1057.0,38.0,0.010773631744086742,0.010835383087396622,0.9991658329963684,8426.5419921875,0.42132709960937503
10,37,0.004067291039973497,0.003355272114276886,1.0,3498.0,3498.0,38.0,0.03948363661766052,0.03184029459953308,1.0,184.0,184.0,38.0,0.09261194616556168,0.10820531845092773,0.9821429252624512,56.0,56.0,28.0,0.015534725040197372,0.013732722960412502,0.9990540146827698,1057.0,1057.0,38.0,0.009072015061974525,0.008988289162516594,0.9995828866958618,8425.94140625,0.4212970703125
11,37,0.004203297197818756,0.00418461486697197,1.0,3498.0,3498.0,38.0,0.0342673659324646,0.035175204277038574,1.0,184.0,184.0,38.0,0.0876912921667099,0.046658337116241455,0.9821428656578064,56.0,56.0,33.0,0.015154639258980751,0.012322894297540188,0.9981078505516052,1057.0,1057.0,38.0,0.008735135197639465,0.008746088482439518,0.9993743300437927,8425.3349609375,0.42126674804687503
12,37,0.003078234614804387,0.004063159227371216,1.0,3498.0,3498.0,38.0,0.027008455246686935,0.033141400665044785,0.9945653080940247,184.0,184.0,36.0,0.08652432262897491,0.04837741330265999,0.9642856121063232,56.0,56.0,29.0,0.012676883488893509,0.006730860564857721,1.0,1057.0,1057.0,38.0,0.007176229730248451,0.007086975499987602,0.999374270439148,8424.728515625,0.42123642578125003
13,37,0.0023028268478810787,0.0019353624666109681,1.0,3498.0,3498.0,38.0,0.014079916290938854,0.012994296848773956,1.0,184.0,184.0,38.0,0.07313689589500427,0.0601448230445385,0.964285671710968,56.0,56.0,30.0,0.009192530997097492,0.008123817853629589,1.0,1057.0,1057.0,38.0,0.005053029395639896,0.005100764334201813,0.9995828866958618,8424.115234375,0.42120576171875
14,37,0.0021244874224066734,0.0018770088208839297,1.0,3498.0,3498.0,38.0,0.014838199131190777,0.011245409958064556,1.0,184.0,184.0,37.0,0.05541950464248657,0.03865347057580948,0.9821428656578064,56.0,56.0,30.0,0.007790815085172653,0.006585312075912952,1.0,1057.0,1057.0,38.0,0.004449925851076841,0.004483851604163647,0.9997913837432861,8423.498046875,0.42117490234375005
15,37,0.002070425543934107,0.002075385535135865,1.0,3498.0,3498.0,38.0,0.013804138638079166,0.01184077002108097,1.0,184.0,184.0,38.0,0.06676612794399261,0.056315891444683075,1.0,56.0,56.0,28.0,0.010052438825368881,0.007816360332071781,0.9990538358688354,1057.0,1057.0,38.0,0.00505594490095973,0.005035795737057924,0.9997913837432861,8422.8828125,0.421144140625
16,37,0.0021208426915109158,0.002094401279464364,1.0,3498.0,3498.0,38.0,0.014873504638671875,0.012757545337080956,1.0,184.0,184.0,37.0,0.03918252885341644,0.040768593549728394,0.9821428060531616,56.0,56.0,28.0,0.004438405856490135,0.003647960489615798,1.0,1057.0,1057.0,38.0,0.0035222067963331938,0.0035539204254746437,0.9997913837432861,8422.2646484375,0.42111323242187504
17,37,0.0017913819756358862,0.001896492438390851,1.0,3498.0,3498.0,38.0,0.01135395746678114,0.008867725729942322,1.0,184.0,184.0,38.0,0.03420167416334152,0.04473993554711342,1.0,56.0,56.0,32.0,0.00529065914452076,0.004795934073626995,1.0,1057.0,1057.0,38.0,0.003330154810100794,0.0033082175068557262,1.0,8421.64453125,0.4210822265625
18,37,0.001352410763502121,0.0019149620784446597,1.0,3498.0,3498.0,38.0,0.008344024419784546,0.012569652870297432,1.0,184.0,184.0,38.0,0.027268914505839348,0.03158504143357277,1.0,56.0,56.0,25.0,0.00470293965190649,0.002856417326256633,1.0,1057.0,1057.0,38.0,0.0027947186026722193,0.0026619601994752884,1.0,8421.021484375,0.42105107421875004
19,37,0.0011465605348348618,0.0010623268317431211,1.0,3498.0,3498.0,38.0,0.006846091244369745,0.005523320287466049,1.0,184.0,184.0,38.0,0.032891713082790375,0.025817792862653732,1.0,56.0,56.0,30.0,0.004481911659240723,0.004625680856406689,1.0,1057.0,1057.0,38.0,0.0025084849912673235,0.0024712546728551388,1.0,8420.3974609375,0.421019873046875
20,37,0.0015494353137910366,0.0011047098087146878,1.0,3498.0,3498.0,38.0,0.012489785440266132,0.007194294594228268,1.0,184.0,184.0,38.0,0.029610594734549522,0.028156664222478867,1.0,56.0,56.0,30.0,0.0053810556419193745,0.005347660277038813,1.0,1057.0,1057.0,38.0,0.0031443596817553043,0.003141608787700534,1.0,8419.7734375,0.420988671875
21,37,0.001363683259114623,0.0017676445422694087,1.0,3498.0,3498.0,38.0,0.007101286668330431,0.008716610260307789,1.0,184.0,184.0,38.0,0.023105096071958542,0.021095020696520805,1.0,56.0,56.0,27.0,0.004559163469821215,0.003030055435374379,1.0,1057.0,1057.0,38.0,0.0025196510832756758,0.0025421734899282455,1.0,8419.150390625,0.42095751953125005
22,37,0.0010266111930832267,0.0009106937795877457,1.0,3498.0,3498.0,38.0,0.0065345000475645065,0.01147071085870266,1.0,184.0,184.0,38.0,0.017414364963769913,0.016952600330114365,1.0,56.0,56.0,30.0,0.0033445192966610193,0.0029913007747381926,1.0,1057.0,1057.0,38.0,0.0019433196866884828,0.0019403118640184402,1.0,8418.525390625,0.42092626953125
23,37,0.0013077688636258245,0.0009095025598071516,1.0,3498.0,3498.0,38.0,0.008014028891921043,0.009108196012675762,1.0,184.0,184.0,38.0,0.027003690600395203,0.03619987145066261,1.0,56.0,56.0,29.0,0.005678420886397362,0.004699820652604103,1.0,1057.0,1057.0,38.0,0.0028316958341747522,0.002828666241839528,1.0,8417.8974609375,0.420894873046875
24,37,0.0012466913321986794,0.002098493278026581,1.0,3498.0,3498.0,38.0,0.00678489962592721,0.006444528698921204,1.0,184.0,184.0,37.0,0.018908511847257614,0.03330492228269577,1.0,56.0,56.0,28.0,0.0029350200202316046,0.0028399364091455936,1.0,1057.0,1057.0,38.0,0.0021509698126465082,0.002037651836872101,1.0,8417.2734375,0.420863671875
25,37,0.0009282574756070971,0.0007374540437012911,1.0,3498.0,3498.0,38.0,0.006193430162966251,0.0043332818895578384,1.0,184.0,184.0,38.0,0.01574721932411194,0.0221441388130188,1.0,56.0,56.0,33.0,0.0032392414286732674,0.003414828795939684,1.0,1057.0,1057.0,38.0,0.0018153483979403973,0.0018127963412553072,1.0,8416.6455078125,0.420832275390625
26,37,0.0007905703387223184,0.0009354419889859855,1.0,3498.0,3498.0,38.0,0.004339438863098621,0.006379557773470879,1.0,184.0,184.0,38.0,0.01453130692243576,0.018907181918621063,1.0,56.0,56.0,29.0,0.002496468834578991,0.0016274512745440006,1.0,1057.0,1057.0,38.0,0.001465542591176927,0.0014632726088166237,1.0,8416.0146484375,0.42080073242187505
27,37,0.0007335435366258025,0.000880603154655546,1.0,3498.0,3498.0,38.0,0.004096403252333403,0.0039374008774757385,1.0,184.0,184.0,37.0,0.012844376266002655,0.008248359896242619,1.0,56.0,56.0,30.0,0.002600430278107524,0.0018143882043659687,1.0,1057.0,1057.0,38.0,0.0014265456702560186,0.0014155606040731072,1.0,8415.3876953125,0.42076938476562503
