epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,0.1571435034275055,0.09011191129684448,0.995425820350647,3498.0,3498.0,38.0,0.5586720705032349,0.806657075881958,0.7228260040283203,184.0,184.0,38.0,1.4137777090072632,1.4349782466888428,0.0535714328289032,56.0,56.0,29.0,0.7436826825141907,0.47197502851486206,0.5562913417816162,1057.0,1057.0,38.0,0.3142431378364563,0.316523015499115,0.8771635890007019,8431.62890625,0.4215814453125
1,37,0.04597725719213486,0.03626691922545433,0.9962836503982544,3498.0,3498.0,38.0,0.8114477396011353,0.6954789757728577,0.5434783697128296,184.0,184.0,38.0,1.453645944595337,1.330252766609192,0.3035714626312256,56.0,56.0,29.0,0.21477097272872925,0.2014000564813614,0.9280983209609985,1057.0,1057.0,38.0,0.1291571855545044,0.12899935245513916,0.9557873010635376,8431.1337890625,0.421556689453125
2,37,0.02584339864552021,0.0236339308321476,0.9979988932609558,3498.0,3498.0,38.0,0.458327978849411,0.437171071767807,0.7608696222305298,184.0,184.0,36.0,1.1599466800689697,1.2329622507095337,0.4821428656578064,56.0,56.0,32.0,0.15374888479709625,0.11910799890756607,0.9432353377342224,1057.0,1057.0,38.0,0.08350059390068054,0.0838794857263565,0.9708028435707092,8430.5830078125,0.421529150390625
3,37,0.02139871194958687,0.02182578667998314,0.9982847571372986,3498.0,3498.0,38.0,0.3614788353443146,0.35783326625823975,0.8423911929130554,184.0,184.0,38.0,0.705643355846405,0.780460000038147,0.6785715818405151,56.0,56.0,31.0,0.10539153963327408,0.10601969063282013,0.9602649807929993,1057.0,1057.0,38.0,0.0608677975833416,0.060955096036195755,0.980187714099884,8430.0302734375,0.421501513671875
4,37,0.014043722301721573,0.017084162682294846,0.9988564252853394,3498.0,3498.0,38.0,0.24587230384349823,0.3340100049972534,0.9130435585975647,184.0,184.0,38.0,0.5658777356147766,0.4513232707977295,0.7857142686843872,56.0,56.0,30.0,0.08344457298517227,0.060523901134729385,0.9697256088256836,1057.0,1057.0,38.0,0.04556663706898689,0.04468310624361038,0.9866527318954468,8429.466796875,0.42147333984375
5,37,0.01061121467500925,0.013968270272016525,0.9994282722473145,3498.0,3498.0,38.0,0.15051211416721344,0.2198190987110138,0.9673911929130554,184.0,184.0,37.0,0.44474172592163086,0.47397810220718384,0.8035714030265808,56.0,56.0,29.0,0.0645732507109642,0.0521971620619297,0.9867548942565918,1057.0,1057.0,38.0,0.03344375640153885,0.032945092767477036,0.9931178092956543,8428.8935546875,0.421444677734375
6,37,0.007849909365177155,0.006918517407029867,0.999714195728302,3498.0,3498.0,38.0,0.10716575384140015,0.0892295092344284,0.9728261828422546,184.0,184.0,38.0,0.30184945464134216,0.4136989414691925,0.8750000596046448,56.0,56.0,33.0,0.04425659403204918,0.04608236998319626,0.9895932078361511,1057.0,1057.0,38.0,0.023029467090964317,0.02311997301876545,0.9949948787689209,8428.3154296875,0.42141577148437503
7,37,0.0071434746496379375,0.007162436842918396,0.9997140765190125,3498.0,3498.0,38.0,0.08339514583349228,0.08925776183605194,1.0,184.0,184.0,38.0,0.22885139286518097,0.24281008541584015,0.9107142686843872,56.0,56.0,30.0,0.030891122296452522,0.032049760222435,0.9962156414985657,1057.0,1057.0,38.0,0.017790958285331726,0.017893675714731216,0.9979144930839539,8427.7275390625,0.42138637695312503
8,37,0.006566142197698355,0.007804373744875193,1.0,3498.0,3498.0,38.0,0.07549574971199036,0.08743445575237274,0.9945653080940247,184.0,184.0,36.0,0.16925401985645294,0.11055120080709457,0.928571343421936,56.0,56.0,29.0,0.023046104237437248,0.015635138377547264,0.9971617460250854,1057.0,1057.0,38.0,0.014972222037613392,0.014744012616574764,0.998331606388092,8427.1376953125,0.421356884765625
9,37,0.003501354018226266,0.0035026827827095985,1.0,3498.0,3498.0,38.0,0.025618551298975945,0.030061155557632446,1.0,184.0,184.0,38.0,0.15546022355556488,0.1937558948993683,0.9285714626312256,56.0,56.0,28.0,0.022775040939450264,0.021556152030825615,0.9990540146827698,1057.0,1057.0,38.0,0.010306976735591888,0.010373418219387531,0.9989572763442993,8426.541015625,0.42132705078125005
