,predictions,labels,aux_labels,loss_0,grad_norm_0,feat_norm_0,loss_1,grad_norm_1,feat_norm_1,loss_2,grad_norm_2,feat_norm_2,loss_3,grad_norm_3,feat_norm_3,loss_4,grad_norm_4,feat_norm_4
0,0,0,0,0.15639546513557434,4.359872,0.38107467,3.029428005218506,28.622019,0.34432438,0.05091806501150131,1.5006046,0.4809561,0.02855633571743965,0.85375166,0.42320275,0.038002509623765945,1.1242363,0.4073922
1,0,0,0,0.15808792412281036,4.3889823,0.47003567,0.0532827153801918,1.5418792,0.39266938,0.046544648706912994,1.3860495,0.43493617,0.027691928669810295,0.82711667,0.44879997,3.2422139644622803,28.947226,0.4410099
2,1,0,0,0.14423252642154694,4.0471296,0.40425104,0.049557190388441086,1.4577231,0.43370864,0.05592476949095726,1.6223116,0.4697736,3.5812783241271973,29.704248,0.4027943,0.04233052209019661,1.2470677,0.39363325
3,0,0,0,0.16376595199108124,4.497221,0.38391066,0.048105962574481964,1.4009509,0.45600376,0.0541093684732914,1.594251,0.58616084,0.027330435812473297,0.82419115,0.5282389,0.03955818712711334,1.1731462,0.435547
4,0,0,1,0.16113905608654022,4.4328136,0.40125176,2.953773021697998,28.518057,0.42194828,0.06308107078075409,1.8170356,0.45794898,0.028467008844017982,0.8459127,0.4456823,3.2209060192108154,29.045124,0.3700766
5,0,1,3,0.16826485097408295,4.645559,0.46973062,0.05313713103532791,1.5562003,0.52491397,2.9880921840667725,28.755081,0.43184334,0.029583541676402092,0.876012,0.38580447,0.0436394102871418,1.2842383,0.44857618
6,1,0,0,0.1493486613035202,4.214854,0.45332992,2.978145122528076,28.868324,0.43673515,0.047049399465322495,1.3982502,0.423165,0.027719641104340553,0.8248095,0.37114346,0.034726373851299286,1.023367,0.4367785
7,0,0,0,0.1572263091802597,4.31089,0.4250379,0.05111188814043999,1.5024167,0.42441165,2.8678576946258545,28.57645,0.40701145,0.030863206833600998,0.9105397,0.46414977,0.04153752699494362,1.218435,0.5093953
8,0,0,0,0.15907326340675354,4.377699,0.37362602,0.04727251082658768,1.4125342,0.3725624,0.04856359586119652,1.4382436,0.36589283,0.02770850993692875,0.8310702,0.4840237,0.03830521181225777,1.1487131,0.4126494
9,0,1,3,1.958435297012329,26.262081,0.4387315,0.05477239191532135,1.5928262,0.4619076,0.05060533434152603,1.4924934,0.4110879,3.4462199211120605,28.983776,0.39143252,0.03834490850567818,1.1152388,0.52903885
10,0,0,0,1.9387969970703125,25.89401,0.39849627,0.04882008954882622,1.433867,0.43805623,0.04725966230034828,1.38354,0.48313868,0.02696092240512371,0.79363894,0.5088924,0.035604625940322876,1.0474644,0.50146675
11,0,1,3,0.15562747418880463,4.3250346,0.4306334,2.8963654041290283,28.34656,0.4846418,2.9125590324401855,28.728315,0.53390014,0.02783871442079544,0.8228817,0.51282823,0.03856779262423515,1.1398793,0.4196257
12,1,0,0,0.1638583391904831,4.5601454,0.4142494,0.05422613397240639,1.5968897,0.46536928,0.05683225020766258,1.6635532,0.45720142,3.500075578689575,29.429987,0.35455805,0.03740934655070305,1.1132979,0.45387387
13,0,0,0,0.1510004997253418,4.2425256,0.44759834,0.04284025728702545,1.2746336,0.46161947,0.05426463857293129,1.5894219,0.5109069,0.028499681502580643,0.8452672,0.43122035,3.135326862335205,28.699251,0.47844428
14,1,0,0,0.15152016282081604,4.2436423,0.41499287,0.046477168798446655,1.3935002,0.4839425,0.051337722688913345,1.5226313,0.50471044,0.03311910107731819,0.97023517,0.42734402,3.132568836212158,28.86036,0.49213198
15,1,0,0,0.15266068279743195,4.2754736,0.37857276,0.05190344154834747,1.5214372,0.4134592,0.04667196795344353,1.3956993,0.42259187,0.02983129769563675,0.87167865,0.36542356,3.175485849380493,29.110039,0.43070287
16,0,0,0,1.8917194604873657,25.873234,0.48613805,0.0582013763487339,1.6754812,0.47423252,2.8540663719177246,28.113003,0.43805957,0.03093741089105606,0.9229183,0.44137335,0.03646831586956978,1.0792451,0.43028563
17,0,0,0,0.15716274082660675,4.3867106,0.42714506,0.05221067741513252,1.5591259,0.50327075,2.9425208568573,28.456242,0.44887656,0.02938191220164299,0.8859522,0.4268954,0.03323027119040489,1.0026081,0.44942793
18,0,1,3,1.9387505054473877,25.69523,0.4538157,2.8911359310150146,28.788897,0.4045876,0.046263325959444046,1.3775684,0.48913476,0.029488982632756233,0.8634895,0.5125184,0.037725891917943954,1.1226339,0.38203257
19,0,0,1,1.8491541147232056,25.291857,0.5081208,0.054507821798324585,1.6056702,0.41072983,2.8766531944274902,28.738472,0.44355074,3.520559310913086,29.24594,0.43421748,0.03838609158992767,1.1248997,0.43255323
20,1,0,0,0.16780291497707367,4.6291947,0.44721556,2.994014024734497,28.725286,0.51219356,0.05603805184364319,1.6479502,0.4606278,3.5061447620391846,29.267532,0.5018517,0.03513365983963013,1.0550281,0.43913162
21,1,0,0,0.15907661616802216,4.4190865,0.45003086,0.053005997091531754,1.5374259,0.46075153,0.05724110081791878,1.6681412,0.39810216,0.028569774702191353,0.8591548,0.4560842,0.03919385373592377,1.1329954,0.4446497
22,0,0,0,0.166392520070076,4.5687923,0.4029798,0.05334126204252243,1.550019,0.38713658,0.04668141156435013,1.3806192,0.42020017,3.398249387741089,29.11139,0.47118565,0.04053398221731186,1.1916019,0.4894244
23,0,0,0,0.15361294150352478,4.3008223,0.4563132,2.865342855453491,28.455166,0.37061602,0.04813527315855026,1.4317125,0.40033123,0.02439795434474945,0.734081,0.43336678,0.03674919158220291,1.0891882,0.42129287
24,0,0,0,1.9172340631484985,25.877523,0.5237042,2.900114059448242,28.756233,0.44792885,0.05305404216051102,1.5469368,0.47938657,0.03333335369825363,0.9836787,0.46825898,0.037631407380104065,1.1084942,0.32588857
