,labels,aux_labels,predictions_0,loss_0,grad_norm_0,feat_norm_0
0,0,0,0,0.0038505474,0.14089026,0.3894393
1,0,0,0,0.054465603,1.9113301,0.46995565
2,0,0,0,0.0041527236,0.1541344,0.41080952
3,0,0,0,0.0009854942,0.038719952,0.40817702
4,0,1,0,0.009350082,0.38051996,0.40227538
5,1,3,0,0.012349332,0.42757195,0.4539257
6,0,0,0,0.013761524,0.5096845,0.44615218
7,0,0,0,0.0037309579,0.12757076,0.43559217
8,0,0,0,0.028396329,0.8705089,0.39175695
9,1,3,0,0.12457151,3.3917007,0.4312534
10,0,0,1,0.039485537,1.2593962,0.40129274
11,1,3,0,0.03167903,1.1598853,0.4290753
12,0,0,0,0.063109055,2.0512853,0.4074301
13,0,0,1,0.04119096,1.4969525,0.45639312
14,0,0,0,0.27939838,9.458077,0.42603588
15,0,0,0,0.0047615473,0.14001009,0.39818677
16,0,0,0,0.001883877,0.06975813,0.49294254
17,0,0,0,0.017765094,0.6257147,0.42291462
18,1,3,0,0.17279686,4.9268894,0.45341656
19,0,1,0,0.021736836,0.6199668,0.50677556
20,0,0,0,0.0018554392,0.05977536,0.4503743
21,0,0,1,0.011873759,0.35960674,0.46252853
22,0,0,0,0.0026009798,0.09685238,0.40330458
23,0,0,0,0.001195074,0.046357457,0.46330875
24,0,0,0,0.0054438678,0.18021518,0.50438195
25,0,0,0,0.059294876,2.0288157,0.4176977
26,0,0,0,0.33878562,9.395583,0.446388
27,0,0,0,0.0035043277,0.13169782,0.4787554
28,0,0,0,0.009262684,0.3292531,0.42015293
29,0,0,0,0.022087296,0.9011305,0.48361635
30,0,0,0,0.040224053,1.403826,0.4592409
31,0,0,0,0.081778646,2.905638,0.42525214
32,0,0,0,0.0043234215,0.15451838,0.4027132
33,0,0,1,0.0021985425,0.08960442,0.3738694
34,0,0,0,0.013051088,0.4334717,0.5352929
35,0,0,0,0.0011166058,0.055124093,0.48260307
36,0,0,0,0.24323025,8.956118,0.40555912
37,0,0,0,0.024070065,0.8645765,0.47170693
38,0,0,0,0.07011407,2.5909255,0.41989788
39,0,0,0,0.3564448,10.945723,0.42945224
40,0,0,1,0.0063194213,0.2135886,0.40303496
41,0,0,0,0.0075868326,0.28253686,0.45047104
42,0,0,0,0.016372504,0.6318685,0.4153764
43,0,0,0,3.1049817,33.420124,0.42195275
44,0,0,0,0.008341236,0.2900665,0.4792349
45,1,3,0,0.0037093423,0.1465511,0.4221526
46,0,0,0,0.005954029,0.22960375,0.35990626
47,0,0,0,0.052598123,1.8490151,0.48978686
48,0,0,0,0.051470775,2.0064924,0.51123476
49,0,0,0,0.40709156,13.932942,0.4817781
50,0,0,0,0.013135567,0.57554996,0.4743586
51,0,0,0,0.19528604,6.608775,0.4345811
52,0,0,0,0.043313548,1.635281,0.459558
53,1,3,0,0.016505484,0.5326642,0.43466246
54,0,0,0,0.02203622,0.7875665,0.48155272
55,0,0,0,0.027055837,0.9327175,0.43251923
56,0,0,0,0.009057742,0.31330407,0.3911871
57,0,0,0,1.0031078,22.234945,0.53898454
58,0,0,0,0.2580992,7.930537,0.40024233
59,1,3,0,0.00977763,0.32857797,0.37984547
60,0,0,0,0.00082577934,0.029167024,0.44887528
61,1,3,0,0.1203259,3.956983,0.44342223
62,0,0,1,0.065720394,2.5175595,0.3698939
