epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss
0,37,0.16501061618328094,0.0988440066576004,0.989708423614502,3498.0,3498.0,38.0,0.5211653113365173,0.6138721704483032,0.7010869979858398,184.0,184.0,37.0,1.5029380321502686,1.5450053215026855,0.1071428582072258,56.0,56.0,31.0,0.7485461235046387,0.45685774087905884,0.5449385046958923,1057.0,1057.0,38.0,0.3207511603832245,0.3229362368583679,0.8702815175056458,8431.6220703125,0.421581103515625
1,37,0.04149070382118225,0.03771455958485603,0.9965694546699524,3498.0,3498.0,38.0,0.794769287109375,0.7488337159156799,0.5489130616188049,184.0,184.0,38.0,1.5220047235488892,1.2630081176757812,0.3035714626312256,56.0,56.0,33.0,0.20797093212604523,0.17709363996982574,0.9233678579330444,1057.0,1057.0,38.0,0.1233799010515213,0.12438572943210602,0.9551615715026855,8431.12890625,0.4215564453125
2,37,0.026143064722418785,0.03100811317563057,0.9977129101753235,3498.0,3498.0,38.0,0.4719938635826111,0.6176693439483643,0.7717390060424805,184.0,184.0,38.0,1.0769623517990112,1.1387534141540527,0.5892857909202576,56.0,56.0,28.0,0.1629878133535385,0.1439528465270996,0.9375590682029724,1057.0,1057.0,38.0,0.08670272678136826,0.08568994700908661,0.9710114002227783,8430.5791015625,0.42152895507812504
3,37,0.02015039138495922,0.021871492266654968,0.9985706806182861,3498.0,3498.0,38.0,0.36604446172714233,0.38375988602638245,0.842391312122345,184.0,184.0,38.0,0.8078606128692627,0.6641238927841187,0.6785714626312256,56.0,56.0,27.0,0.11156956851482391,0.1039435863494873,0.9621570706367493,1057.0,1057.0,38.0,0.06268912553787231,0.06277528405189514,0.9808133840560913,8430.021484375,0.42150107421875
4,37,0.014624390751123428,0.014178495854139328,0.9994282722473145,3498.0,3498.0,38.0,0.2576937675476074,0.27472296357154846,0.9076088070869446,184.0,184.0,38.0,0.5436367988586426,0.5784827470779419,0.7857144474983215,56.0,56.0,29.0,0.08651977777481079,0.0751078724861145,0.9744560122489929,1057.0,1057.0,38.0,0.04642746224999428,0.04597848653793335,0.9879041314125061,8429.4609375,0.42147304687500003
5,37,0.011615601368248463,0.009577944874763489,0.9994282126426697,3498.0,3498.0,38.0,0.16808758676052094,0.13930092751979828,0.9510869979858398,184.0,184.0,38.0,0.43471890687942505,0.4787895083427429,0.8214285373687744,56.0,56.0,32.0,0.06596088409423828,0.05823586881160736,0.982970654964447,1057.0,1057.0,38.0,0.03450093790888786,0.034541066735982895,0.9918664693832397,8428.8916015625,0.421444580078125
6,37,0.00928630493581295,0.00967317633330822,0.9994282126426697,3498.0,3498.0,38.0,0.12572480738162994,0.11069066822528839,0.967391312122345,184.0,184.0,38.0,0.2919657230377197,0.2272181659936905,0.9107142686843872,56.0,56.0,30.0,0.04207432270050049,0.03564165532588959,0.9952697157859802,1057.0,1057.0,38.0,0.024078190326690674,0.024283524602651596,0.9962460994720459,8428.314453125,0.42141572265625005
7,37,0.007007040083408356,0.005006371531635523,0.9991422891616821,3498.0,3498.0,38.0,0.06127197667956352,0.054907530546188354,1.0,184.0,184.0,38.0,0.24301470816135406,0.3324989080429077,0.910714328289032,56.0,56.0,31.0,0.03327952325344086,0.03532487526535988,0.9952697157859802,1057.0,1057.0,38.0,0.01835848018527031,0.017637111246585846,0.9972887635231018,8427.728515625,0.42138642578125
8,37,0.0059807333163917065,0.005386354401707649,1.0,3498.0,3498.0,38.0,0.06633847206830978,0.04556944593787193,0.9945653676986694,184.0,184.0,38.0,0.18196770548820496,0.19007372856140137,0.910714328289032,56.0,56.0,31.0,0.02360706962645054,0.022142263129353523,0.9990538954734802,1057.0,1057.0,38.0,0.014102844521403313,0.014237695373594761,0.9985401630401611,8427.1357421875,0.421356787109375
9,37,0.004909923300147057,0.0044221337884664536,0.9997141361236572,3498.0,3498.0,38.0,0.041808150708675385,0.03424885496497154,1.0,184.0,184.0,37.0,0.14604759216308594,0.21201352775096893,0.9285714626312256,56.0,56.0,28.0,0.018942605704069138,0.017729397863149643,0.9990538954734802,1057.0,1057.0,38.0,0.011061170138418674,0.01106748916208744,0.9987486600875854,8426.541015625,0.42132705078125005
