epoch,batch,avg_loss_group:0,exp_avg_loss_group:0,avg_acc_group:0,processed_data_count_group:0,update_data_count_group:0,update_batch_count_group:0,avg_group_grad_norm:0,avg_group_grad_norm_uniform:0,avg_group_loss_each_uniform:0,avg_group_feat_norm:0,avg_group_largest_confidence:0,avg_loss_group:1,exp_avg_loss_group:1,avg_acc_group:1,processed_data_count_group:1,update_data_count_group:1,update_batch_count_group:1,avg_group_grad_norm:1,avg_group_grad_norm_uniform:1,avg_group_loss_each_uniform:1,avg_group_feat_norm:1,avg_group_largest_confidence:1,avg_loss_group:2,exp_avg_loss_group:2,avg_acc_group:2,processed_data_count_group:2,update_data_count_group:2,update_batch_count_group:2,avg_group_grad_norm:2,avg_group_grad_norm_uniform:2,avg_group_loss_each_uniform:2,avg_group_feat_norm:2,avg_group_largest_confidence:2,avg_loss_group:3,exp_avg_loss_group:3,avg_acc_group:3,processed_data_count_group:3,update_data_count_group:3,update_batch_count_group:3,avg_group_grad_norm:3,avg_group_grad_norm_uniform:3,avg_group_loss_each_uniform:3,avg_group_feat_norm:3,avg_group_largest_confidence:3,avg_actual_loss,avg_per_sample_loss,avg_acc,model_norm_sq,reg_loss,avg_grad_norm,avg_grad_norm_uniform,avg_loss_each_uniform,avg_feat_norm,avg_largest_confidence
0,37,0.32586559653282166,0.1602034568786621,0.8865526914596558,2283.0,2283.0,38.0,0.0,0.0,0.0,0.0,0.7621937990188599,1.0236940383911133,0.9929262399673462,0.35849058628082275,106.0,106.0,37.0,0.0,0.0,0.0,0.0,0.690841555595398,0.849077582359314,0.9187859892845154,0.5000000596046448,112.0,112.0,37.0,0.0,0.0,0.0,0.0,0.6514592170715332,0.322533518075943,0.18672876060009003,0.8718396425247192,2294.0,2294.0,38.0,0.0,0.0,0.0,0.0,0.7784560322761536,0.34801897406578064,0.35191893577575684,0.8588112592697144,8431.6845703125,0.421584228515625,0.0,0.0,0.0,0.0,0.7658100128173828
1,37,0.07750935107469559,0.064517080783844,0.9850543141365051,2208.0,2208.0,38.0,0.0,0.0,0.0,0.0,0.9390250444412231,1.1833735704421997,0.8686391115188599,0.4416666626930237,120.0,120.0,36.0,0.0,0.0,0.0,0.0,0.7584941983222961,0.7775274515151978,0.6056367754936218,0.5961537957191467,104.0,104.0,34.0,0.0,0.0,0.0,0.0,0.7414872646331787,0.09152422845363617,0.07223448902368546,0.9724925756454468,2363.0,2363.0,38.0,0.0,0.0,0.0,0.0,0.9398252367973328,0.12656202912330627,0.1272742748260498,0.9568300247192383,8431.1962890625,0.421559814453125,0.0,0.0,0.0,0.0,0.9306169748306274
2,37,0.04893126338720322,0.0458337664604187,0.9935205578804016,2315.0,2315.0,38.0,0.0,0.0,0.0,0.0,0.9593079686164856,0.7921425700187683,0.8049408197402954,0.6554054021835327,148.0,148.0,37.0,0.0,0.0,0.0,0.0,0.7867137789726257,0.7391812205314636,0.524446964263916,0.7279998660087585,125.0,125.0,36.0,0.0,0.0,0.0,0.0,0.8214939832687378,0.05929841473698616,0.0495184063911438,0.9832350015640259,2207.0,2207.0,38.0,0.0,0.0,0.0,0.0,0.9609207510948181,0.09406597167253494,0.09463654458522797,0.9714285135269165,8430.6513671875,0.421532568359375,0.0,0.0,0.0,0.0,0.9511304497718811
3,37,0.033322010189294815,0.02565065771341324,0.9955136179924011,2229.0,2229.0,38.0,0.0,0.0,0.0,0.0,0.973457396030426,0.4985133707523346,0.442370742559433,0.7674418687820435,129.0,129.0,37.0,0.0,0.0,0.0,0.0,0.8007646799087524,0.2686612010002136,0.19905368983745575,0.9179105162620544,134.0,134.0,37.0,0.0,0.0,0.0,0.0,0.8634483814239502,0.04486289992928505,0.048891618847846985,0.9921841621398926,2303.0,2303.0,38.0,0.0,0.0,0.0,0.0,0.9648066163063049,0.05858656391501427,0.057956796139478683,0.9856100082397461,8430.10546875,0.4215052734375,0.0,0.0,0.0,0.0,0.9615822434425354
4,37,0.024582497775554657,0.01864953525364399,0.9978089332580566,2282.0,2282.0,38.0,0.0,0.0,0.0,0.0,0.9796451330184937,0.5102570652961731,0.5431049466133118,0.7889907360076904,109.0,109.0,36.0,0.0,0.0,0.0,0.0,0.825803816318512,0.19727182388305664,0.20196427404880524,0.9344262480735779,122.0,122.0,35.0,0.0,0.0,0.0,0.0,0.8964480757713318,0.030212966725230217,0.03276593238115311,0.9951796531677246,2282.0,2282.0,38.0,0.0,0.0,0.0,0.0,0.976862370967865,0.04244246706366539,0.04269623011350632,0.9901981353759766,8429.546875,0.42147734375,0.0,0.0,0.0,0.0,0.9727069139480591
5,37,0.016205957159399986,0.011067635379731655,0.9986773133277893,2268.0,2268.0,38.0,0.0,0.0,0.0,0.0,0.9854305386543274,0.4113263189792633,0.2984324097633362,0.8189654350280762,116.0,116.0,38.0,0.0,0.0,0.0,0.0,0.8412880301475525,0.1356525421142578,0.1425849348306656,0.952380895614624,126.0,126.0,37.0,0.0,0.0,0.0,0.0,0.9086852669715881,0.02830856665968895,0.028623215854167938,0.9964989423751831,2285.0,2285.0,38.0,0.0,0.0,0.0,0.0,0.9779620170593262,0.03462511673569679,0.03467075154185295,0.9920750856399536,8428.98046875,0.4214490234375,0.0,0.0,0.0,0.0,0.976367712020874
6,37,0.016201715916395187,0.010739468969404697,0.9991068840026855,2239.0,2239.0,38.0,0.0,0.0,0.0,0.0,0.9871056079864502,0.2831478416919708,0.2506442666053772,0.8888888359069824,108.0,108.0,36.0,0.0,0.0,0.0,0.0,0.8717824816703796,0.0699278935790062,0.04885576665401459,0.9756098389625549,123.0,123.0,35.0,0.0,0.0,0.0,0.0,0.9460332989692688,0.016874762251973152,0.01660466380417347,0.9987096190452576,2325.0,2325.0,38.0,0.0,0.0,0.0,0.0,0.9847351312637329,0.023739982396364212,0.02391878142952919,0.9958290457725525,8428.40234375,0.4214201171875,0.0,0.0,0.0,0.0,0.9823051691055298
7,37,0.011064277961850166,0.012938606552779675,0.9995663166046143,2306.0,2306.0,38.0,0.0,0.0,0.0,0.0,0.9901609420776367,0.21726885437965393,0.20249949395656586,0.8859649896621704,114.0,114.0,38.0,0.0,0.0,0.0,0.0,0.8914268612861633,0.07478170096874237,0.07206164300441742,0.9924812912940979,133.0,133.0,38.0,0.0,0.0,0.0,0.0,0.936313807964325,0.015741707757115364,0.012307006865739822,0.9991080164909363,2242.0,2242.0,38.0,0.0,0.0,0.0,0.0,0.9858229756355286,0.019984647631645203,0.019921116530895233,0.9964547157287598,8427.8203125,0.42139101562500003,0.0,0.0,0.0,0.0,0.9842917323112488
8,37,0.007163220550864935,0.006006497889757156,0.9991228580474854,2280.0,2280.0,38.0,0.0,0.0,0.0,0.0,0.9933326840400696,0.09842308610677719,0.11177146434783936,0.9830508828163147,118.0,118.0,37.0,0.0,0.0,0.0,0.0,0.9298913478851318,0.03994488716125488,0.03294449672102928,1.0,105.0,105.0,34.0,0.0,0.0,0.0,0.0,0.9627919793128967,0.01089522521942854,0.010954408906400204,0.9995636940002441,2292.0,2292.0,38.0,0.0,0.0,0.0,0.0,0.9897093772888184,0.01204258669167757,0.011910769157111645,0.9989572763442993,8427.2333984375,0.421361669921875,0.0,0.0,0.0,0.0,0.9893707036972046
9,37,0.009051498956978321,0.010698153637349606,0.9991416335105896,2330.0,2330.0,38.0,0.0,0.0,0.0,0.0,0.9922953844070435,0.09622810781002045,0.12375685572624207,0.9655173420906067,116.0,116.0,36.0,0.0,0.0,0.0,0.0,0.927897572517395,0.02366747334599495,0.023737847805023193,1.0,119.0,119.0,38.0,0.0,0.0,0.0,0.0,0.9770380854606628,0.008357607759535313,0.006872508674860001,1.0,2230.0,2230.0,38.0,0.0,0.0,0.0,0.0,0.9919557571411133,0.011108637787401676,0.011200489476323128,0.9987486600875854,8426.634765625,0.42133173828125003,0.0,0.0,0.0,0.0,0.9902008771896362
