,labels,predictions,aux_labels,loss,grad_norm
0,0,0,0,2.861018856492592e-06,9.395919e-05
1,0,0,0,1.6689286894688848e-06,6.6256165e-05
2,0,0,0,9.536738616588991e-07,3.265702e-05
3,0,0,0,2.264974000354414e-06,6.89737e-05
4,0,0,1,3.576278118089249e-07,1.2580615e-05
5,1,1,3,1.0609570381348021e-05,0.0003609824
6,0,0,0,1.4305104514278355e-06,5.2468135e-05
7,0,0,0,3.015949550899677e-05,0.00081481074
8,0,0,0,4.124556289752945e-05,0.0012452668
9,1,1,3,0.00011181206355104223,0.003844102
10,0,0,0,5.9960475482512265e-05,0.0018915439
11,1,1,3,2.3841855067985307e-07,9.426172e-06
12,0,0,0,4.303362584323622e-05,0.001387784
13,0,0,0,1.2755313036905136e-05,0.00043168734
14,0,0,0,0.0001445904199499637,0.006255028
15,0,0,0,1.156323378381785e-05,0.00030113707
16,0,0,0,-0.0,6.402883e-08
17,0,0,0,0.0002609150833450258,0.0077747367
18,1,1,3,7.60526381782256e-05,0.00243331
19,0,0,1,7.152531907195225e-06,0.00025398625
20,0,0,0,0.0001546025014249608,0.003673817
21,0,0,0,1.537788011773955e-05,0.00044036738
22,0,0,0,6.985420623095706e-05,0.001913137
23,0,0,0,2.3841855067985307e-07,7.3580195e-06
24,0,0,0,-0.0,5.8892465e-07
25,0,0,0,7.271740287251305e-06,0.00025258545
26,0,0,0,0.00013612773909699172,0.0047033583
27,0,0,0,3.576278118089249e-07,1.1751568e-05
28,0,0,0,3.9457496313843876e-05,0.0011102428
29,0,0,0,5.960462772236497e-07,2.7458127e-05
30,0,0,0,6.735097849741578e-05,0.0026276265
31,0,0,0,1.1920922133867862e-06,4.640686e-05
32,0,0,0,5.602679812000133e-05,0.0016614315
33,0,0,0,3.361645576660521e-05,0.0011345809
34,0,0,0,1.1920928244535389e-07,4.2862257e-06
35,0,0,0,-0.0,8.869028e-07
36,0,0,0,1.7404405298293568e-05,0.0008003695
37,0,0,0,2.3364747903542593e-05,0.0006770874
38,0,0,0,3.9934315282152966e-05,0.0014817488
39,0,0,0,6.294052582234144e-05,0.0024075832
40,0,0,0,5.245195097813848e-06,0.00015871812
41,0,0,0,1.1920922133867862e-06,4.0684947e-05
42,0,0,0,9.536738616588991e-07,4.1173116e-05
43,0,0,0,1.3828182090946939e-05,0.00068669755
44,0,0,0,2.3841855067985307e-07,8.565634e-06
45,1,1,3,4.649054244509898e-05,0.001341017
46,0,0,0,1.1920928244535389e-07,3.8554017e-06
47,0,0,0,2.3841855067985307e-07,9.256665e-06
48,0,0,0,9.047575440490618e-05,0.0035617598
49,0,0,0,1.9073468138230965e-06,9.8982564e-05
50,0,0,0,2.3841855067985307e-07,1.09521025e-05
51,0,0,0,5.0424259825376794e-05,0.0019251044
52,0,0,0,1.0251946150674485e-05,0.00044431526
53,1,1,3,2.7418097943154862e-06,8.755064e-05
54,0,0,0,5.960462772236497e-07,2.1830749e-05
55,0,0,0,1.4305104514278355e-06,5.203743e-05
56,0,0,0,1.1920928244535389e-07,4.1683647e-06
57,0,0,0,2.5510462364763953e-05,0.0011074264
58,0,0,0,5.245195097813848e-06,0.00019761358
59,1,1,3,2.0265558760002023e-06,5.976993e-05
60,0,0,0,1.9311717551317997e-05,0.00049349427
61,1,1,3,5.125986263010418e-06,0.00020541769
62,0,0,0,2.3841855067985307e-07,1.0471373e-05
63,0,0,0,5.6980417866725475e-05,0.0020511865
64,0,0,0,6.079655122448457e-06,0.00019947677
65,1,1,3,5.8410845667822286e-05,0.0019560107
66,1,1,3,5.960462772236497e-07,2.1092403e-05
67,0,0,0,6.9141146923357155e-06,0.00024338275
68,0,0,1,3.2782016205601394e-05,0.0014065943
69,0,0,0,2.1934269170742482e-05,0.00063175353
70,0,0,0,4.875540980719961e-05,0.0018184226
71,0,0,0,2.264974000354414e-06,8.820267e-05
72,0,0,0,3.576278118089249e-07,1.1696978e-05
73,0,0,0,-0.0,7.101263e-07
74,0,0,0,3.2186455882765586e-06,0.0001280728
75,0,0,0,1.0728830375228426e-06,4.2453117e-05
76,1,1,3,3.4689302992774174e-05,0.0012646887
77,1,1,3,7.354942499659956e-05,0.0028446498
78,0,0,0,2.622600959512056e-06,9.0143905e-05
79,0,0,0,3.2186455882765586e-06,0.000118399796
80,0,0,0,6.4490144723095e-05,0.0024252946
81,1,1,3,1.1920928244535389e-07,5.0014282e-06
82,0,0,0,1.9788545614574105e-05,0.0006662907
83,0,0,0,6.198863957251888e-06,0.00024466612
84,0,0,0,5.006777428206988e-06,0.00021840603
85,0,0,1,2.253030106658116e-05,0.0009376828
86,0,0,0,9.65590606938349e-06,0.00036542836
87,0,0,0,1.0728830375228426e-06,4.41967e-05
88,0,0,1,3.576272320060525e-06,0.00013715636
89,0,0,0,3.2186455882765586e-06,8.7117754e-05
90,0,0,0,2.622600959512056e-06,8.5953725e-05
91,0,0,0,3.576278118089249e-07,1.4054608e-05
92,0,0,0,6.318072337307967e-06,0.00019996722
93,1,1,3,6.318072337307967e-06,0.0002025603
94,0,0,0,4.768360213347478e-06,0.00018965133
95,0,0,0,1.3828182090946939e-05,0.00038191353
96,0,0,0,1.4305104514278355e-06,4.4155935e-05
97,0,0,0,9.48860906646587e-05,0.003441056
98,0,0,0,3.576278118089249e-07,1.15976e-05
99,1,1,3,1.1444026313256472e-05,0.0003800636
