,labels,predictions,aux_labels,loss,grad_norm
0,0,0,0,0.010805075988173485,0.39305016
1,0,0,0,0.053025104105472565,1.9362048
2,0,0,0,0.01040286011993885,0.3850771
3,0,0,0,0.003654232481494546,0.14164913
4,0,0,1,0.016741378232836723,0.6835019
5,1,1,3,0.020133066922426224,0.71315366
6,0,0,0,0.02398010343313217,0.9004215
7,0,0,0,0.011771030724048615,0.3971426
8,0,0,0,0.06004652753472328,1.7791405
9,1,1,3,0.08319984376430511,2.402137
10,0,0,0,0.15066967904567719,4.4100013
11,1,1,3,0.03082367591559887,1.1808704
12,0,0,0,0.06382004171609879,2.0910273
13,0,0,0,0.09595101326704025,3.4054532
14,0,0,0,1.1396598815917969,26.848047
15,0,0,0,0.010300451889634132,0.29078683
16,0,0,0,0.007596415467560291,0.2809983
17,0,0,0,0.02958284690976143,1.0481706
18,1,1,3,0.45651644468307495,11.658258
19,0,1,1,0.053945157676935196,1.5709754
20,0,0,0,0.007781667169183493,0.24715975
21,0,0,0,0.024220990017056465,0.72609985
22,0,0,0,0.010492753237485886,0.36935672
23,0,0,0,0.0030720680952072144,0.11949099
24,0,0,0,0.017198471352458,0.5826522
25,0,0,0,0.06141406297683716,2.1192575
26,0,0,0,0.25789675116539,7.293343
27,0,0,0,0.010228948667645454,0.3873802
28,0,0,0,0.021037999540567398,0.78385496
29,0,0,0,0.10074274241924286,3.9608004
30,0,0,0,0.059821754693984985,2.0404034
31,0,0,0,0.10531625151634216,3.6100326
32,0,0,0,0.012185533531010151,0.43947056
33,0,0,0,0.00848557148128748,0.35853744
34,0,0,0,0.021866071969270706,0.71532345
35,0,0,0,0.010672987438738346,0.5061529
36,0,0,0,0.10190000385046005,4.40934
37,0,0,0,0.037124525755643845,1.322778
38,0,0,0,0.09823402762413025,3.5023112
39,0,0,0,0.6281189918518066,16.860111
40,0,0,0,0.012103447690606117,0.40125942
41,0,0,0,0.01829148270189762,0.66780657
42,0,0,0,0.07994183152914047,2.9935944
43,0,0,0,3.097593069076538,34.614265
44,0,0,0,0.06084315851330757,2.0123546
45,1,1,3,0.011144298128783703,0.42233548
46,0,0,0,0.03013312816619873,1.1115595
47,0,0,0,0.07350488752126694,2.5679798
48,0,0,0,0.054036300629377365,2.1051536
49,0,0,0,0.8344438076019287,24.006603
50,0,0,0,0.022348690778017044,0.9843742
51,0,0,0,0.23889747262001038,7.652277
52,0,0,0,0.19086222350597382,6.73544
53,1,1,3,0.029595578089356422,0.9152401
54,0,0,0,0.06469513475894928,2.2194278
55,0,0,0,0.10407356172800064,3.4040349
56,0,0,0,0.0357593409717083,1.200369
57,0,0,0,1.2539645433425903,26.30369
58,0,0,0,0.5419583320617676,14.516408
59,1,1,3,0.036946699023246765,1.1853253
60,0,0,0,0.00358118349686265,0.13025443
61,1,1,3,0.21057915687561035,6.843642
62,0,0,0,0.10989169031381607,4.071005
63,0,0,0,0.1697777360677719,5.7422166
64,0,0,0,0.10863757133483887,3.4381921
65,1,0,3,0.04324333742260933,1.6300511
66,1,1,3,0.011290586553514004,0.4188578
67,0,0,0,0.0805603414773941,2.6659727
68,0,1,1,0.16818556189537048,6.2905283
69,0,0,0,0.036058008670806885,1.1322889
70,0,0,0,0.2078457921743393,6.5205665
71,0,0,0,0.02772810496389866,1.0726198
72,0,0,0,0.01501649059355259,0.48215663
73,0,0,0,0.02202456071972847,0.90957
74,0,0,0,0.08788991719484329,2.7968118
75,0,0,0,0.055276501923799515,2.1345863
76,1,1,3,0.2646867632865906,7.553755
77,1,1,3,0.3764181435108185,11.579624
78,0,0,0,0.034244854003190994,1.295001
79,0,0,0,0.06896013021469116,2.4755561
80,0,0,0,0.5496969223022461,14.484057
81,1,1,3,0.04315280169248581,1.3230019
82,0,0,0,0.11014307290315628,3.689591
83,0,0,0,0.02022676356136799,0.74967754
84,0,0,0,0.14500568807125092,5.3929253
85,0,0,1,0.031459107995033264,1.2370338
86,0,0,0,0.3269520401954651,9.339521
87,0,0,0,0.019311510026454926,0.7883206
88,0,1,1,0.07518327981233597,2.6782928
89,0,0,0,0.007397994864732027,0.2388682
90,0,0,0,0.03570482134819031,1.1561853
91,0,0,0,0.05295489355921745,1.6275076
92,0,0,0,0.07770188897848129,2.4565287
93,1,1,3,0.02895490638911724,0.9995451
94,0,0,0,0.14254547655582428,4.973744
95,0,0,0,0.014062718488276005,0.43625283
96,0,0,0,0.01627187803387642,0.5378446
97,0,0,0,0.175405353307724,5.5213833
98,0,0,0,0.0033743607345968485,0.12452598
99,1,1,3,0.081351138651371,2.9671967
100,0,0,0,0.46313023567199707,12.467293
101,0,0,0,0.15782134234905243,5.577895
102,0,0,0,0.10621024668216705,3.532128
103,1,1,3,0.03508313000202179,1.0665468
104,0,0,0,0.14778035879135132,4.4608426
105,1,1,3,0.02237270399928093,0.83119726
106,0,0,0,0.10289967060089111,3.540682
107,1,0,3,0.0641980990767479,2.1846797
108,0,0,0,0.341113418340683,9.89686
109,0,0,0,0.1875169277191162,5.6623106
110,1,0,2,0.0447799488902092,1.6321664
111,1,1,3,0.10490705817937851,3.480787
112,0,0,0,0.034088753163814545,1.2799386
113,1,1,3,0.06606169044971466,2.8252435
114,0,0,0,0.06196245923638344,2.1978264
115,1,1,3,0.017937231808900833,0.6988883
116,0,0,0,0.3477373421192169,8.160716
117,0,0,0,0.016244199126958847,0.6344874
118,0,0,0,0.0269714817404747,0.9911055
119,1,1,3,0.006018136162310839,0.20917471
120,1,1,3,0.04896880313754082,1.6404127
121,1,1,3,1.4661619663238525,26.037758
122,0,0,0,0.048135727643966675,1.6999886
123,1,0,2,0.06329739093780518,2.1151192
124,1,1,3,0.049012504518032074,1.5334415
125,0,0,0,0.04699651151895523,1.5996989
126,1,1,3,0.10911001265048981,3.8884037
127,1,1,2,0.025062011554837227,0.8006358
128,0,0,0,0.1344459056854248,4.3639812
129,0,0,0,0.01628008857369423,0.5734837
130,0,0,0,0.0855603814125061,3.4004526
131,0,1,1,0.113554947078228,3.498426
132,0,0,0,0.11288336664438248,3.5804822
133,0,0,0,0.033202365040779114,1.0714025
134,0,0,0,0.03241213411092758,1.2350018
135,0,0,0,0.06905224919319153,2.2304997
136,0,0,0,0.2599603831768036,9.1916685
137,0,1,1,0.10508854687213898,2.7760808
138,0,0,0,0.09116331487894058,3.0544753
139,0,0,0,0.2883734405040741,8.858909
