,labels,predictions,aux_labels,feat_norm
0,0,0,0,0.41194808
1,0,0,0,0.4828859
2,0,0,0,0.42268628
3,0,0,0,0.38378653
4,0,0,1,0.44892907
5,1,1,3,0.40350905
6,0,0,0,0.47825956
7,0,0,0,0.34100026
8,0,0,0,0.36655247
9,1,1,3,0.4050337
10,0,0,0,0.36691815
11,1,1,3,0.49907517
12,0,0,0,0.3937871
13,0,0,0,0.42462346
14,0,0,0,0.55324125
15,0,0,0,0.32773775
16,0,0,0,0.50629973
17,0,0,0,0.33231413
18,1,1,3,0.34591287
19,0,0,1,0.40620905
20,0,0,0,0.30123985
21,0,0,0,0.3611622
22,0,0,0,0.32290226
23,0,0,0,0.4054159
24,0,0,0,0.4644923
25,0,0,0,0.39667943
26,0,0,0,0.43389088
27,0,0,0,0.4258449
28,0,0,0,0.33162624
29,0,0,0,0.49197248
30,0,0,0,0.46724522
31,0,0,0,0.49488387
32,0,0,0,0.34965703
33,0,0,0,0.38579297
34,0,0,0,0.42798635
35,0,0,0,0.5737434
36,0,0,0,0.5068277
37,0,0,0,0.34281325
38,0,0,0,0.4172504
39,0,0,0,0.48308107
40,0,0,0,0.37516996
41,0,0,0,0.43419778
42,0,0,0,0.49790275
43,0,0,0,0.64301026
44,0,0,0,0.42882562
45,1,1,3,0.36036736
46,0,0,0,0.4485293
47,0,0,0,0.4827814
48,0,0,0,0.49841875
49,0,0,0,0.638492
50,0,0,0,0.54537857
51,0,0,0,0.41785744
52,0,0,0,0.47500646
53,1,1,3,0.4285272
54,0,0,0,0.44162285
55,0,0,0,0.39610118
56,0,0,0,0.46059
57,0,0,0,0.56923676
58,0,0,0,0.46363705
59,1,1,3,0.38502038
60,0,0,0,0.32106552
61,1,1,3,0.45186272
62,0,0,0,0.528558
63,0,0,0,0.43951917
64,0,0,0,0.4048405
65,1,1,3,0.38001537
66,1,1,3,0.42279568
67,0,0,0,0.43842536
68,0,0,1,0.5156739
69,0,0,0,0.35090357
70,0,0,0,0.4443335
71,0,0,0,0.43182018
72,0,0,0,0.41242838
73,0,0,0,0.5013191
74,0,0,0,0.4583187
75,0,0,0,0.50440836
76,1,1,3,0.44605792
77,1,1,3,0.50039524
78,0,0,0,0.43134785
79,0,0,0,0.4585843
80,0,0,0,0.4395335
81,1,1,3,0.3830404
82,0,0,0,0.44938844
83,0,0,0,0.42451143
84,0,0,0,0.5037364
85,0,0,1,0.4618349
86,0,0,0,0.48614758
87,0,0,0,0.5152206
88,0,0,1,0.4336109
89,0,0,0,0.3407625
90,0,0,0,0.35834885
91,0,0,0,0.4292313
92,0,0,0,0.39222667
93,1,1,3,0.42686582
94,0,0,0,0.48838544
95,0,0,0,0.34294313
96,0,0,0,0.39034748
97,0,0,0,0.4507079
98,0,0,0,0.38783875
99,1,1,3,0.3997493
100,0,0,0,0.39599526
101,0,0,0,0.44623536
102,0,0,0,0.42308348
103,1,1,3,0.36600775
104,0,0,0,0.4222834
105,1,1,3,0.4922572
106,0,0,0,0.4905847
107,1,1,3,0.4099644
108,0,0,0,0.44629982
109,0,0,0,0.3950993
110,1,1,2,0.4803608
111,1,1,3,0.4335883
112,0,0,0,0.43374687
113,1,1,3,0.5496488
114,0,0,0,0.43578905
115,1,1,3,0.49407232
116,0,0,0,0.35256782
117,0,0,0,0.46169838
118,0,0,0,0.44553262
119,1,1,3,0.32649463
120,1,1,3,0.44505826
121,1,1,3,0.36414012
122,0,0,0,0.4202206
123,1,1,2,0.41945085
124,1,1,3,0.385194
125,0,0,0,0.43431616
126,1,1,3,0.45137128
127,1,1,2,0.42244363
128,0,0,0,0.45747355
129,0,0,0,0.4264268
130,0,0,0,0.5522828
131,0,0,1,0.4226823
132,0,0,0,0.45638585
133,0,0,0,0.41009414
134,0,0,0,0.4544196
135,0,0,0,0.41459453
136,0,0,0,0.5310976
137,0,0,1,0.3533942
138,0,0,0,0.4084181
139,0,0,0,0.45782918
140,0,0,0,0.37878194
141,0,0,0,0.3930524
142,0,0,0,0.4605877
143,0,0,0,0.4830585
144,0,0,0,0.39969987
145,0,0,0,0.52198344
146,0,0,0,0.35938126
147,1,1,3,0.37295985
148,0,0,0,0.3712368
149,0,0,0,0.53952515
150,1,1,3,0.48978567
151,0,0,0,0.44241905
152,0,0,0,0.49343145
153,1,1,3,0.44439918
154,0,0,0,0.40562987
155,0,0,1,0.42148143
156,0,0,1,0.33176917
157,0,0,0,0.40873104
158,0,0,0,0.51133734
159,0,0,0,0.4040531
160,1,1,3,0.51761365
161,1,1,2,0.43444332
162,0,0,0,0.4617988
163,1,1,3,0.49038014
164,0,0,0,0.4174048
165,0,0,0,0.4368103
166,0,0,0,0.34323597
167,0,0,0,0.49000132
168,1,1,3,0.50811374
169,0,0,0,0.42116094
170,0,0,0,0.4610868
171,1,1,3,0.358025
172,0,0,1,0.4874717
173,0,0,0,0.40432587
174,0,0,0,0.46166712
175,0,0,0,0.448591
176,1,1,3,0.44198295
177,0,0,0,0.46092516
178,0,0,0,0.38218236
179,0,0,0,0.33124393
180,0,0,0,0.4841796
181,1,1,3,0.39414296
182,0,0,0,0.40598696
183,1,1,3,0.40230298
184,0,0,0,0.46927518
185,1,1,3,0.53536826
186,0,0,0,0.39648375
187,0,0,0,0.47955927
188,0,0,0,0.3379012
189,0,0,0,0.38817745
190,0,0,0,0.42817014
191,0,0,0,0.3412885
192,0,0,0,0.46632344
193,0,0,0,0.4970432
194,0,0,0,0.39755946
195,0,0,0,0.38680488
196,0,0,0,0.4576072
197,0,0,0,0.39985466
198,1,1,3,0.3552161
199,0,0,0,0.38545752
200,0,0,0,0.40859246
201,0,0,0,0.3849734
202,1,1,2,0.40907377
203,1,1,3,0.35797277
204,0,0,0,0.37944716
205,0,0,0,0.36676577
206,0,0,0,0.38268703
207,0,0,0,0.5007312
208,0,0,0,0.4018888
209,0,0,0,0.29877532
210,0,0,0,0.41015542
211,1,1,3,0.5287058
212,0,0,0,0.43928674
213,0,0,0,0.44806498
214,0,0,0,0.51196516
215,0,0,0,0.48450667
216,0,0,0,0.40724197
217,1,1,3,0.407931
218,0,0,0,0.45527032
219,0,0,0,0.42541432
220,0,0,0,0.38577014
221,0,0,0,0.4472157
222,0,0,0,0.41201207
223,0,0,0,0.39659604
224,0,0,0,0.537535
225,1,1,3,0.40773773
226,0,0,0,0.4609217
227,0,0,0,0.447329
228,0,0,0,0.508851
229,0,0,0,0.5124401
230,0,0,0,0.35767388
231,0,0,0,0.41058493
232,0,0,0,0.4414385
233,0,0,0,0.4088251
234,0,0,0,0.36596107
235,0,0,0,0.37385285
236,0,0,0,0.41224828
237,0,0,0,0.46955764
238,0,0,0,0.39712918
239,0,0,0,0.3977474
240,0,0,0,0.47319674
241,0,0,0,0.385446
242,0,0,0,0.44192094
243,0,0,0,0.4441103
244,1,1,3,0.31033736
245,0,0,0,0.49246973
246,1,1,3,0.42886937
247,0,0,0,0.43704724
248,0,0,0,0.41863424
249,1,1,3,0.4303524
250,1,1,3,0.4109335
251,0,0,0,0.36962318
252,0,0,0,0.4400059
253,1,1,3,0.46117014
254,0,0,0,0.49689016
255,0,0,0,0.46115792
256,0,0,0,0.3551616
257,1,1,3,0.5238399
258,0,0,0,0.38855422
259,0,0,0,0.38278446
260,0,0,0,0.47392654
261,1,1,3,0.34758002
262,0,0,0,0.54879797
263,0,0,0,0.41314322
264,0,0,0,0.38435385
265,0,0,0,0.37226337
266,0,0,0,0.38682473
267,0,0,0,0.50902116
268,0,0,0,0.47681063
269,0,0,0,0.4915872
