,labels,predictions,aux_labels,loss,grad_norm
0,0,0,0,2.50339189733495e-06,8.334493e-05
1,0,0,0,2.0265558760002023e-06,8.005609e-05
2,0,0,0,1.0728830375228426e-06,3.8305006e-05
3,0,0,0,2.145764938177308e-06,6.71064e-05
4,0,0,1,3.576278118089249e-07,1.2719216e-05
5,1,1,3,1.2993727978027891e-05,0.00044189108
6,0,0,0,1.6689286894688848e-06,6.449453e-05
7,0,0,0,2.658331868587993e-05,0.00073298614
8,0,0,0,5.829164365422912e-05,0.0017462943
9,1,1,3,0.0002499506517779082,0.008464639
10,0,0,0,0.00016378014697693288,0.0050912425
11,1,1,3,3.576278118089249e-07,1.3398046e-05
12,0,0,0,3.433168603805825e-05,0.0011143053
13,0,0,0,5.960446742392378e-06,0.00020260463
14,0,0,0,0.00013052565918769687,0.0055932626
15,0,0,0,9.894321920000948e-06,0.00026148674
16,0,0,0,-0.0,1.2259748e-07
17,0,0,0,0.00034028460504487157,0.01014866
18,1,1,3,0.00017021637177094817,0.005374357
19,0,0,1,1.4662635294371285e-05,0.00050934486
20,0,0,0,0.00016652150952722877,0.003966741
21,0,0,0,1.3947389561508317e-05,0.00040459153
22,0,0,0,8.749579137656838e-05,0.002393199
23,0,0,0,2.3841855067985307e-07,8.046282e-06
24,0,0,0,-0.0,1.5725575e-06
25,0,0,0,9.775113539944869e-06,0.0003397228
26,0,0,0,0.0001565095444675535,0.005436958
27,0,0,0,3.576278118089249e-07,1.2939397e-05
28,0,0,0,6.115249561844394e-05,0.0016986133
29,0,0,0,1.4305104514278355e-06,6.40996e-05
30,0,0,0,0.0002026352594839409,0.0078475885
31,0,0,0,1.1920922133867862e-06,4.542838e-05
32,0,0,0,7.70062324590981e-05,0.0022648417
33,0,0,0,2.7179348762729205e-05,0.0009215073
34,0,0,0,1.1920928244535389e-07,3.7451387e-06
35,0,0,0,1.1920928244535389e-07,5.1833954e-06
36,0,0,0,3.111314072157256e-05,0.0014252302
37,0,0,0,3.182837463100441e-05,0.00092115806
38,0,0,0,0.00015114595589693636,0.0055694543
39,0,0,0,6.985420623095706e-05,0.0026647374
40,0,0,0,5.602820692729438e-06,0.00017163025
41,0,0,0,1.4305104514278355e-06,4.833748e-05
42,0,0,0,2.861018856492592e-06,0.00012077121
43,0,0,0,2.002696055569686e-05,0.000970821
44,0,0,0,4.768370445162873e-07,1.8307315e-05
45,1,1,3,4.649054244509898e-05,0.0013422921
46,0,0,0,1.1920928244535389e-07,4.298607e-06
47,0,0,0,2.3841855067985307e-07,9.17701e-06
48,0,0,0,4.7205765440594405e-05,0.0018936889
49,0,0,0,2.3841830625315197e-06,0.00011998634
50,0,0,0,2.3841855067985307e-07,1.0606694e-05
51,0,0,0,0.00014053787162993103,0.005291328
52,0,0,0,3.0278701160568744e-05,0.0013043892
53,1,1,3,2.264974000354414e-06,7.42416e-05
54,0,0,0,5.960462772236497e-07,2.1296828e-05
55,0,0,0,2.861018856492592e-06,0.00010414292
56,0,0,0,2.3841855067985307e-07,1.0636927e-05
57,0,0,0,2.0861407392658293e-05,0.0009135706
58,0,0,0,5.364403477869928e-06,0.00020195912
59,1,1,3,1.7881377516459906e-06,5.3383206e-05
60,0,0,0,2.407998726994265e-05,0.0006168584
61,1,1,3,3.957670196541585e-05,0.001530209
62,0,0,0,2.3841855067985307e-07,9.690397e-06
63,0,0,0,3.290122185717337e-05,0.0011999976
64,0,0,0,4.6491513785440475e-06,0.00015301336
65,1,1,3,6.4490144723095e-05,0.0021364898
66,1,1,3,7.152555099310121e-07,2.3643299e-05
67,0,0,0,1.3947389561508317e-05,0.0004910825
68,0,0,1,9.250213042832911e-05,0.0039260006
69,0,0,0,2.3364747903542593e-05,0.0006738856
70,0,0,0,6.174850568640977e-05,0.0022881436
71,0,0,0,5.364403477869928e-06,0.00020774799
72,0,0,0,3.576278118089249e-07,1.2127834e-05
73,0,0,0,-0.0,1.1082328e-06
74,0,0,0,8.583032467868179e-06,0.0003372786
75,0,0,0,7.152555099310121e-07,2.8293816e-05
76,1,1,3,2.8729025871143676e-05,0.0010550815
77,1,1,3,6.139089964563027e-05,0.0023982355
78,0,0,0,2.264974000354414e-06,7.920225e-05
79,0,0,0,2.3841830625315197e-06,8.8904446e-05
80,0,0,0,0.00015364897262770683,0.005669652
81,1,1,3,2.3841855067985307e-07,8.873007e-06
82,0,0,0,2.1219027985353023e-05,0.0007242093
83,0,0,0,1.3470558769768104e-05,0.00052094675
84,0,0,0,2.7417760065873154e-05,0.0011722113
85,0,0,1,5.23315102327615e-05,0.0021344079
86,0,0,0,1.0251946150674485e-05,0.00038883483
87,0,0,0,7.152555099310121e-07,2.877832e-05
88,0,0,1,8.583032467868179e-06,0.00032629544
89,0,0,0,3.6954811548639555e-06,0.00010030543
90,0,0,0,4.529942543740617e-06,0.00014597
91,0,0,0,9.536738616588991e-07,3.5225363e-05
92,0,0,0,5.960446742392378e-06,0.00018904229
93,1,1,3,5.8412379075889476e-06,0.00019233885
94,0,0,0,4.529942543740617e-06,0.00018239082
95,0,0,0,1.490105023549404e-05,0.0004153406
96,0,0,0,1.9073468138230965e-06,6.0672915e-05
97,0,0,0,6.747018051100895e-05,0.0024673648
98,0,0,0,5.960462772236497e-07,1.924086e-05
99,1,1,3,1.3589766240329482e-05,0.00044910776
100,0,0,0,7.676783570786938e-05,0.0027078101
101,0,0,0,2.169585604860913e-05,0.00078147656
102,0,0,0,4.3748852476710454e-05,0.0015301786
103,1,1,3,5.483612312673358e-06,0.00015847814
104,0,0,0,4.529942543740617e-06,0.00015867189
105,1,1,3,1.07287787614041e-05,0.00045461077
106,0,0,0,4.827859811484814e-05,0.0018772483
107,1,1,3,0.00013004888023715466,0.0042138495
108,0,0,0,4.994744449504651e-05,0.0018749222
109,0,0,0,0.00025507534155622125,0.008274047
110,1,1,2,3.576278118089249e-07,1.3019114e-05
111,1,1,3,0.00012182447244413197,0.0041863276
112,0,0,0,2.8967437174287625e-05,0.0009900992
113,1,1,3,4.768370445162873e-07,2.1801547e-05
114,0,0,0,8.761498611420393e-05,0.003029046
115,1,1,3,2.3841855067985307e-07,1.0487181e-05
116,0,0,0,0.0002632986579556018,0.008190983
117,0,0,0,9.536738616588991e-07,3.5579797e-05
118,0,0,0,-0.0,3.7395017e-07
119,1,1,3,2.13382354559144e-05,0.0005850847
120,1,1,3,4.291525328881107e-06,0.00014946348
121,1,1,3,0.0007682471186853945,0.023539366
122,0,0,0,3.933898824470816e-06,0.00013568751
123,1,1,2,1.1324817933200393e-05,0.00039431563
124,1,1,3,6.556489552167477e-06,0.00019878622
125,0,0,0,3.576278118089249e-07,1.3320312e-05
126,1,1,3,3.194758028257638e-05,0.0011582813
127,1,1,2,1.1920928244535389e-07,4.543884e-06
128,0,0,0,2.7418097943154862e-06,9.936607e-05
129,0,0,0,1.1920922133867862e-06,3.9228584e-05
130,0,0,0,3.099436753473128e-06,0.00014453854
131,0,0,1,4.291525328881107e-06,0.0001585792
132,0,0,0,1.4305104514278355e-06,5.255738e-05
133,0,0,0,5.960462772236497e-07,2.1853364e-05
134,0,0,0,2.4437606043647975e-05,0.001001505
135,0,0,0,2.861018856492592e-06,9.86235e-05
136,0,0,0,0.0002150304353563115,0.009314153
137,0,0,1,0.00017569905321579427,0.0054037566
138,0,0,0,0.00010001159535022452,0.0035927957
139,0,0,0,8.606540359323844e-05,0.0032934526
140,0,0,0,5.4596363042946905e-05,0.0017469259
141,0,0,0,1.311301275563892e-06,4.055324e-05
142,0,0,0,5.6265202147187665e-05,0.002122144
143,0,0,0,5.07818695041351e-05,0.0019018187
144,0,0,0,2.0265558760002023e-06,6.975332e-05
145,0,0,0,6.9141146923357155e-06,0.00028578853
146,0,0,0,8.475421054754406e-05,0.0025846143
147,1,1,3,1.0728830375228426e-06,3.399871e-05
